method,regime,empirical_miscoverage,empirical_coverage,avg_width,median_neff,avg_drift,low_neff_rate
DASC,recurring_A,0.10086956521739131,0.8991304347826087,2.1139165129315147,206.08768448756047,0.19404347333894253,0.0013043478260869566
DASC,recurring_B,0.09844444444444445,0.9015555555555556,2.0961670479397494,205.0767554912303,0.20313355191885085,0.00044444444444444447
DASC,drift_after_shift,0.1022,0.8978,3.635009210947412,193.85322796004024,0.21081318275353447,0.065
adaptive,recurring_A,0.10043478260869565,0.8995652173913044,2.0969579579873456,180.0,,0.0
adaptive,recurring_B,0.09777777777777778,0.9022222222222223,2.085743857975787,180.0,,0.0
adaptive,drift_after_shift,0.1042,0.8958,3.6200853543732037,180.0,,0.0
conformal_PID,recurring_A,0.09739130434782609,0.9026086956521739,2.297789029289481,180.0,,0.0
conformal_PID,recurring_B,0.102,0.898,2.197941427617991,180.0,,0.0
conformal_PID,drift_after_shift,0.1004,0.8996,3.822367624021381,180.0,,0.0
exp_weighted,recurring_A,0.09913043478260869,0.9008695652173913,2.093960213858529,130.6315943761309,,0.0
exp_weighted,recurring_B,0.102,0.898,2.056241335427427,131.1908144239772,,0.0
exp_weighted,drift_after_shift,0.1262,0.8738,3.3273685818657026,131.1908144239772,,0.0
rolling,recurring_A,0.09565217391304348,0.9043478260869565,2.121119990855304,180.0,,0.0
rolling,recurring_B,0.09555555555555556,0.9044444444444444,2.0845560737695923,180.0,,0.0
rolling,drift_after_shift,0.1378,0.8622,3.2728764823035306,180.0,,0.0
spectral_only,recurring_A,0.1,0.9,2.0824813259918447,274.31717938313176,,0.0
spectral_only,recurring_B,0.0971111111111111,0.9028888888888889,2.06717727530693,318.1178328925484,,0.0
spectral_only,drift_after_shift,0.1702,0.8298,3.0357054187966592,302.686644270262,,0.0028
